Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01371","Almonds, in shell","2015","2015","1000 SLC","4255","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2015","2015","1000 SLC","18426","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01341","Apples","2015","2015","1000 SLC","1137677","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01343","Apricots","2015","2015","1000 SLC","44847","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01216","Artichokes","2015","2015","1000 SLC","265338","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01211","Asparagus","2015","2015","1000 SLC","604723","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01311","Avocados","2015","2015","1000 SLC","3591","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01312","Bananas","2015","2015","1000 SLC","628195","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","0115","Barley","2015","2015","1000 SLC","3390194","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01701","Beans, dry","2015","2015","1000 SLC","3316998","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","02960.01","Beeswax","2015","2015","1000 SLC","256741","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01702","Broad beans and horse beans, dry","2015","2015","1000 SLC","16077","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01195","Canary seed","2015","2015","1000 SLC","96121","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01229","Cantaloupes and other melons","2015","2015","1000 SLC","1277301","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01251","Carrots and turnips","2015","2015","1000 SLC","1217737","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01520.01","Cassava, fresh","2015","2015","1000 SLC","1013341","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01199.90","Cereals n.e.c.","2015","2015","1000 SLC","18090","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01344.02","Cherries","2015","2015","1000 SLC","75641","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01703","Chick peas, dry","2015","2015","1000 SLC","79272","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2015","2015","1000 SLC","6970","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2015","2015","1000 SLC","1627536","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01315","Figs","2015","2015","1000 SLC","3196","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","21170.02","Game meat, fresh, chilled or frozen","2015","2015","1000 SLC","185171","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01330","Grapes","2015","2015","1000 SLC","9344177","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01252","Green garlic","2015","2015","1000 SLC","4608427","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","0142","Groundnuts, excluding shelled","2015","2015","1000 SLC","4253188","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","0231","Hen eggs in shell, fresh","2015","2015","1000 SLC","9527922","A","Official figure"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01659","Hop cones","2015","2015","1000 SLC","2120","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","21118.01i","Horse meat, fresh or chilled (indigenous)","2015","2015","1000 SLC","3481358","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01322","Lemons and limes","2015","2015","1000 SLC","2711203","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01704","Lentils, dry","2015","2015","1000 SLC","47444","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01441","Linseed","2015","2015","1000 SLC","39956","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01709.02","Lupins","2015","2015","1000 SLC","142","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2015","2015","1000 SLC","45946177","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01316","Mangoes, guavas and mangosteens","2015","2015","1000 SLC","1917","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01630","Maté leaves","2015","2015","1000 SLC","1172908","A","Official figure"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","21111.01i","Meat of cattle with the bone, fresh or chilled (indigenous)","2015","2015","1000 SLC","149057820","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","21121i","Meat of chickens, fresh or chilled (indigenous)","2015","2015","1000 SLC","29286116","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","21122i","Meat of ducks, fresh or chilled (indigenous)","2015","2015","1000 SLC","8121","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","21123i","Meat of geese, fresh or chilled (indigenous)","2015","2015","1000 SLC","406","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","21116i","Meat of goat, fresh or chilled (indigenous)","2015","2015","1000 SLC","105258","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","21113.01i","Meat of pig with the bone, fresh or chilled (indigenous)","2015","2015","1000 SLC","1164011","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","21114i","Meat of rabbits and hares, fresh or chilled (indigenous)","2015","2015","1000 SLC","269535","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","21115i","Meat of sheep, fresh or chilled (indigenous)","2015","2015","1000 SLC","3866759","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","21124i","Meat of turkeys, fresh or chilled (indigenous)","2015","2015","1000 SLC","24940","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","0118","Millet","2015","2015","1000 SLC","5276","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","02910","Natural honey","2015","2015","1000 SLC","1562198","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","0117","Oats","2015","2015","1000 SLC","816497","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01450","Olives","2015","2015","1000 SLC","1299569","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01253.02","Onions and shallots, dry (excluding dehydrated)","2015","2015","1000 SLC","648812","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01323","Oranges","2015","2015","1000 SLC","1174810","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01241.90","Other beans, green","2015","2015","1000 SLC","2028","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01929.90","Other fibre crops, raw, n.e.c.","2015","2015","1000 SLC","915","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01699","Other stimulant, spice and aromatic crops, n.e.c.","2015","2015","1000 SLC","763","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01290.90","Other vegetables, fresh n.e.c.","2015","2015","1000 SLC","916483","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01317","Papayas","2015","2015","1000 SLC","1545","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01345","Peaches and nectarines","2015","2015","1000 SLC","819800","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01342.01","Pears","2015","2015","1000 SLC","1004410","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01705","Peas, dry","2015","2015","1000 SLC","156990","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01242","Peas, green","2015","2015","1000 SLC","58193","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01318","Pineapples","2015","2015","1000 SLC","2693","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01346","Plums and sloes","2015","2015","1000 SLC","435098","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01321","Pomelos and grapefruits","2015","2015","1000 SLC","221391","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01510","Potatoes","2015","2015","1000 SLC","7057774","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01235","Pumpkins, squash and gourds","2015","2015","1000 SLC","1621327","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01342.02","Quinces","2015","2015","1000 SLC","68425","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","01443","Rape or colza seed","2015","2015","1000 SLC","172459","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","02211","Raw milk of cattle","2015","2015","1000 SLC","44381914","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","56","Gross Production Value (current thousand SLC)","0113","Rice","2015","2015","1000 SLC","3059100","E","Estimated value"
